Campaign,Campaign Daily Budget,Campaign Type,Networks,Bid Strategy Type,Ad Group,Max CPC,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
KLUSR | Search | Verf — Generiek,15.00,Search,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,Paused
KLUSR | Search | Verf — Generiek,,,,,Muurverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf online,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf online,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf bestellen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf bestellen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,witte muurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,witte muurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf op kleur,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf op kleur,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,,,Muurverf op Voorraad,Muurverf in Elke Kleur,Dekt Vaak in 1 Laag,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Muurverf,https://www.klusr.nl/categorie/verf/binnenmuurverf,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,muurverf binnen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,muurverf binnen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,latex binnen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,latex binnen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,,,Binnenmuurverf Online,Muurverf voor Binnen,Mat of Zijdeglans,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Binnenmuurverf,https://www.klusr.nl/categorie/verf/binnenmuurverf,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,buitenmuurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,buitenmuurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,gevelverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,gevelverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,buitenmuurverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,buitenmuurverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,muurverf buiten,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,muurverf buiten,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,,,Buitenmuurverf Online,Gevelverf op Voorraad,Weerbestendige Verf,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Buitenmuurverf,https://www.klusr.nl/categorie/verf/buitenmuurverf,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,plafondverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,plafondverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,plafondverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,plafondverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,witte plafondverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,witte plafondverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,plafond verven verf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,plafond verven verf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Plafondverf,,,,Plafondverf Online,Strak Mat Plafond,Witte Plafondverf,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Plafondverf,https://www.klusr.nl/categorie/verf/plafondverf,Enabled
KLUSR | Search | Lak & Beits,15.00,Search,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,Paused
KLUSR | Search | Lak & Beits,,,,,Lak,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,lakverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,lakverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,houtlak,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,houtlak,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,lak voor hout,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,lak voor hout,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,kozijnlak,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,kozijnlak,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,deurlak,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,deurlak,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,watergedragen lak,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,watergedragen lak,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Lak,,,,Lak voor Hout,Kozijn- en Deurlak,Zijdeglans & Hoogglans,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Lak,https://www.klusr.nl/categorie/verf/binnenlak,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,beits,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,beits,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,houtbeits,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,houtbeits,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,transparante beits,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,transparante beits,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,dekkende beits,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,dekkende beits,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,tuinhout beits,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,tuinhout beits,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Beits,,,,Beits voor Houtwerk,Transparant of Dekkend,Beits op Voorraad,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Beits,https://www.klusr.nl/categorie/verf/transparante-beits,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,grondverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,grondverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,primer verf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,primer verf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,hechtprimer,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,hechtprimer,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,grondverf hout,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,grondverf hout,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,grondverf metaal,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,grondverf metaal,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,multiprimer,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,multiprimer,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Lak & Beits,,,,,Grondverf & Primer,,,,Grondverf & Primer,Hecht op Elke Ondergrond,Primer voor Hout,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Grondverf,https://www.klusr.nl/categorie/verf/grondverf-hout,Enabled
KLUSR | Search | Vloer & Beton,15.00,Search,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,Paused
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloerverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloerverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloerverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloerverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloercoating,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloercoating,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloerverf beton,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Vloer & Beton,,,,,Vloerverf,,vloerverf beton,Exact,,,,,,,,,,,,,,,,,,Enabled
